% Served, % Stalled, Avg Station Utilization, Avg Queue Length, Max Queue Length, Avg Consumables Level, Avg Queue Delay, Avg Service Delay, # refill events, food left
100,0,39.5508,0.131875,3,135.342,0.08394,0.335685,0,57.2
100,0,33.4919,0.229967,4,116.537,0.149825,0.368026,0,29.9
100,0,34.0128,0.262706,4,105.843,0.158684,0.364134,0,4.7
100,0,41.3407,0.149772,2,141.686,0.121807,0.458024,0,107.6
100,0,27.0121,0.106058,2,144.657,0.110366,0.391461,0,116
100,0,40.3418,0.383481,4,130.216,0.205478,0.421638,0,57.2
100,0,38.8133,0.244662,4,134.01,0.158085,0.408871,0,57.2
100,0,23.6168,0.0640498,2,136.912,0.0552103,0.258785,0,74
100,0,21.4901,0.0915866,2,148.44,0.0870285,0.291234,0,113.9
100,0,30.0521,0.0914754,2,115.924,0.0560363,0.24013,0,27.8
